City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buchanan,5.8808,-10.0467,25.09,92,100,2.14,LR,1675829573
1,klaksvik,62.2266,-6.589,7.74,82,100,25.55,FO,1675829574
2,mahebourg,-20.4081,57.7,27.16,78,40,5.14,MU,1675829574
3,mitzic,0.7821,11.549,20.45,95,97,0.98,GA,1675829575
4,cabo san lucas,22.8909,-109.9124,20.28,44,84,2.07,MX,1675829576
5,atuona,-9.8,-139.0333,26.13,76,22,7.43,PF,1675829576
6,ushuaia,-54.8,-68.3,8.79,91,99,3.44,AR,1675829577
7,punta arenas,-53.15,-70.9167,13.06,71,0,6.69,CL,1675829577
8,puerto princesa,9.7392,118.7353,27.9,73,100,4.13,PH,1675829578
9,butaritari,3.0707,172.7902,27.41,80,100,9.67,KI,1675829578
10,nelson bay,-32.7167,152.15,28.03,62,39,7.6,AU,1675829579
11,lingyuan,41.24,119.4011,1.3,30,1,1.53,CN,1675829580
12,hermanus,-34.4187,19.2345,18.78,84,0,5.59,ZA,1675829444
13,san quintin,30.4833,-115.95,14.45,52,0,0.23,MX,1675829581
14,nome,64.5011,-165.4064,-24.96,84,0,0.0,US,1675829581
15,busselton,-33.65,115.3333,27.3,43,0,1.74,AU,1675829582
16,faya,18.3851,42.4509,8.29,54,5,1.35,SA,1675829328
17,mataura,-46.1927,168.8643,14.21,52,57,5.35,NZ,1675829583
18,pitsunda,43.1592,40.3378,3.1,81,100,4.37,GE,1675829584
19,hilo,19.7297,-155.09,24.04,91,100,3.09,US,1675829287
20,nizwa,22.9333,57.5333,21.42,39,29,0.5,OM,1675829585
21,wukari,7.85,9.7833,21.66,24,64,1.59,NG,1675829586
22,sosnovo-ozerskoye,52.5249,111.5418,-14.85,85,96,2.31,RU,1675829587
23,bethel,41.3712,-73.414,3.2,85,75,0.0,US,1675829588
24,cape town,-33.9258,18.4232,21.06,76,0,6.26,ZA,1675829345
25,vaini,-21.2,-175.2,25.09,100,75,2.57,TO,1675829589
