City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3831208,Qaanaaq,GL,77.484,-69.3632,-20.56,66,100,5.39
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,82.26,83,40,10.36
3372472,Vila Franca do Campo,PT,37.7167,-25.4333,55.81,82,64,16.75
877670,Namalenga,TZ,-10.95,39.1,70.63,95,98,2.44
2163355,Hobart,AU,-42.8794,147.3294,57.06,58,100,8.05
2208248,Kaitangata,NZ,-46.2817,169.8464,52.23,76,99,11.41
6201424,Mataura,NZ,-46.1927,168.8643,48.47,93,100,7.67
3388618,São João do Piauí,BR,-8.3581,-42.2467,87.55,48,100,1.5
2120048,Ust-Nera,RU,64.5667,143.2,-39.6,100,99,0.56
2171507,Wollongong,AU,-34.4333,150.8833,68.67,90,98,1.88
2122614,Okha,RU,53.5739,142.9478,-14.37,96,100,4.74
3430863,Mar del Plata,AR,-38.0023,-57.5575,76.64,78,0,14.0
2145554,Ulladulla,AU,-35.35,150.4667,65.1,90,100,6.51
2126123,Chokurdakh,RU,70.6333,147.9167,-34.06,99,100,3.02
1214488,Meulaboh,ID,4.1363,96.1285,75.69,84,100,4.54
5859699,College,US,64.8569,-147.8028,-0.65,71,75,0.0
1502697,Kondinskoye,RU,59.6481,67.41,-13.14,100,92,3.2
5563839,Fortuna,US,40.5982,-124.1573,48.15,91,0,5.01
3874787,Punta Arenas,CL,-53.15,-70.9167,60.53,51,75,17.27
1337605,Mahibadhoo,MV,3.7833,72.9667,80.74,74,15,10.51
4030556,Rikitea,PF,-23.1203,-134.9692,79.07,74,97,12.3
5848280,Kapaa,US,22.0752,-159.319,73.74,91,20,11.5
5122534,Jamestown,US,42.097,-79.2353,47.05,57,40,17.27
3119631,Laguna de Duero,ES,41.5815,-4.7233,40.89,64,0,11.5
295277,Eilat,IL,29.5581,34.9482,58.84,44,40,9.22
1495022,Petukhovo,RU,55.0692,67.9019,6.24,96,100,7.4
3418910,Upernavik,GL,72.7868,-56.1549,-14.06,92,100,5.55
55671,Kismayo,SO,-0.3582,42.5454,76.62,87,15,14.34
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,58.12,76,75,17.27
5855927,Hilo,US,19.7297,-155.09,70.95,89,100,5.01
5261852,Marinette,US,45.1,-87.6307,39.27,60,100,16.11
5905393,Bonavista,CA,48.6499,-53.1147,22.78,64,100,19.75
5880054,Barrow,US,71.2906,-156.7887,-9.38,70,100,10.36
2644605,Lerwick,GB,60.1545,-1.1494,44.6,73,1,25.17
3372707,Ribeira Grande,PT,38.5167,-28.7,57.6,58,75,19.57
2015306,Tiksi,RU,71.6872,128.8694,-23.85,100,100,3.24
2038067,Chifeng,CN,42.2683,118.9636,17.76,56,0,5.5
1337610,Thinadhoo,MV,0.5333,72.9333,81.57,73,91,9.71
3369157,Cape Town,ZA,-33.9258,18.4232,69.51,77,20,18.41
2022572,Khatanga,RU,71.9667,102.5,-46.97,100,75,1.32
2075265,Busselton,AU,-33.65,115.3333,60.21,94,7,9.75
3366880,Hermanus,ZA,-34.4187,19.2345,69.8,75,100,14.29
2122104,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-7.01,77,0,4.47
1650434,Bambanglipuro,ID,-7.95,110.2833,74.44,94,100,3.91
2729907,Longyearbyen,SJ,78.2186,15.6401,22.84,80,75,42.57
3421765,Nanortalik,GL,60.1432,-45.2371,9.16,64,41,26.73
1623197,Tual,ID,-5.6667,132.75,82.36,74,100,20.18
1735106,George Town,MY,5.4112,100.3354,75.67,88,98,7.99
2013727,Vanavara,RU,60.34,102.2797,-12.51,100,100,2.35
481548,Troitsko-Pechorsk,RU,62.7084,56.1964,6.4,97,100,7.45
3694112,Paita,PE,-5.0892,-81.1144,82.47,62,6,15.61
577548,Belyy Gorodok,RU,56.965,37.5125,9.3,97,65,5.1
1847947,Shingū,JP,33.7333,135.9833,44.67,84,0,6.26
6165406,Thompson,CA,55.7435,-97.8558,-3.84,71,40,4.61
2181625,Te Anau,NZ,-45.4167,167.7167,48.31,84,28,5.37
3374333,Praia,CV,14.9215,-23.5087,72.14,56,40,25.32
3899695,Ancud,CL,-41.8697,-73.8203,64.31,72,19,9.37
2094027,Kieta,PG,-6.2167,155.6333,79.56,84,100,5.32
3579761,Baillif,GP,16.0202,-61.7463,80.1,66,5,12.15
1264310,Mailāni,IN,28.2833,80.35,57.33,64,0,7.29
3361934,Saldanha,ZA,-33.0117,17.9442,68.05,90,66,21.72
1651810,Airai,TL,-8.9266,125.4092,61.43,94,94,1.14
546105,Nikolskoye,RU,59.7035,30.7861,28.04,90,100,9.51
149027,Uyovu,TZ,-3.2833,31.5258,63.82,90,91,4.52
3893726,Constitución,CL,-35.3333,-72.4167,71.38,53,12,6.69
2110227,Butaritari,KI,3.0707,172.7902,80.87,80,100,23.09
3424607,Tasiilaq,GL,65.6145,-37.6368,1.56,53,2,13.11
5546220,Saint George,US,37.1041,-113.5841,49.89,39,0,5.01
4032243,Vaini,TO,-21.2,-175.2,75.36,100,40,2.3
1489656,Teya,RU,60.3778,92.6267,8.2,97,100,2.33
1510689,Baykit,RU,61.67,96.37,2.7,98,100,1.95
1168700,Ormara,PK,25.2088,64.6357,71.35,67,0,8.52
5847411,Kahului,US,20.8947,-156.47,73.96,82,20,15.99
3833367,Ushuaia,AR,-54.8,-68.3,55.06,44,40,9.22
2178753,Kirakira,SB,-10.4544,161.9205,80.4,88,100,10.47
5106841,Albany,US,42.6001,-73.9662,36.25,41,100,5.01
3892454,Diego de Almagro,CL,-26.3667,-70.05,85.21,28,20,16.67
2033675,Xinmin,CN,41.9908,122.8253,19.31,74,0,7.0
2025256,Chumikan,RU,54.7183,135.315,-24.38,87,24,8.93
3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,29,0,8.05
3423146,Ilulissat,GL,69.2167,-51.1,-9.38,77,75,6.91
4020109,Atuona,PF,-9.8,-139.0333,78.51,77,14,16.53
3175096,Laas,IT,46.6166,10.7002,31.87,75,2,4.03
5110365,Broome,US,42.2506,-75.833,39.31,63,100,10.0
3652764,Puerto Ayora,EC,-0.7393,-90.3518,81.55,88,22,10.0
964420,Port Elizabeth,ZA,-33.918,25.5701,71.6,88,40,11.5
1163054,Turbat,PK,26.0023,63.044,69.4,34,0,2.01
1040652,Maputo,MZ,-25.9653,32.5892,80.28,78,75,10.36
2409914,Bonthe,SL,7.5264,-12.505,78.58,67,100,10.25
1255584,Suchindram,IN,8.15,77.4833,76.59,69,99,4.36
3932145,Pisco,PE,-13.7,-76.2167,77.05,78,0,10.36
88834,Tūkrah,LY,32.5341,20.5791,53.64,69,100,19.08
1505991,Igarka,RU,67.4667,86.5833,-2.9,99,97,4.03
364027,Wagar,SD,16.1525,36.2032,74.3,54,8,17.16
2122574,Ola,RU,59.5833,151.2833,-21.82,85,78,8.75
5866583,Saint Paul Harbor,US,57.79,-152.4072,27.91,59,0,16.11
3374210,São Filipe,CV,14.8961,-24.4956,69.75,63,1,17.13
